cluster,catchment_hectares,tp_load,tn_load,tss_load,tp_load_ps,tn_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_rem,tp_load_rem,tss_load_rem
Brandywine and Christina,145739.0505,117939.9178,2032146.7996,103533502.3033,34274.40128105863,373898.8003463582,0.0,0.0,0.0,-829517.5927813583,38486.41086394137,-31100232.548599996,-839163.9762813583,34905.43896394137,-36205995.93269999
Kirkwood - Cohansey Aquifer,550179.6135,160820.2011,2849539.1401,182163754.8213,104214.6510533743,1112279.1499203243,12621.99444058374,2099.198592212334,8552734.45380977,-7654306.012265325,-113950.1301383743,-326092172.13,-7663278.922465324,-115288.34263837429,-327927364.284
Middle Schuylkill,202958.5594,300007.0145,3441219.4628,140924762.3337,146361.87654970365,1614085.7238161988,0.0,0.0,0.0,-1637368.8699741988,90727.98453629637,-46568354.84001999,-1653036.4303741988,85681.97463629636,-47806323.40971999
New Jersey Highlands,178647.1454,162557.3613,1640035.0506,87748771.1854,67809.01404536661,437296.9432353628,271.95184828173683,69.38846421125783,190964.8467797978,-1846768.6646133629,39367.73218063338,-77285461.73512,-1864701.7769133628,33964.73288063338,-80744101.96321999
Poconos and Kittatinny,342462.1335,68983.3652,876610.9495,71151329.7471,14893.260139549282,88156.56324926257,17027.13017552512,4937.38147010693,12406840.397677599,-5057374.232594263,-52073.15632454928,-245215189.18019998,-5057374.232594263,-52073.15632454928,-245215189.18019998
Schuylkill Highlands,44855.1141,54380.293,669055.3042,28019761.9758,22942.814000483413,173033.37307431278,947.6282812885293,229.54672823869623,564279.9244547065,-269654.86656131275,17532.393628516587,-13417392.429779999,-269883.89456131274,17446.528028516586,-13441405.77938
Upper Lehigh,198029.7681,59959.6269,534461.6148,54479310.5391,16246.007427339642,90584.74838083875,7256.935820125984,2013.515209935215,4280859.609047501,-2936491.2750478387,-17675.60863833964,-128460589.23167999,-2936491.2750478387,-17675.60863833964,-128460589.23167999
Upstream Suburban Philadelphia,37411.0946,59371.8293,372053.8892,41086618.1253,42784.28421904953,64410.39085948382,0.0,0.0,0.0,-330963.8864814838,4990.105754950473,6526248.933820002,-332206.3999814838,4605.097054950473,5737168.424320001
drb,1945875.5637,2891730.9064,34825029.2693,1058436714.5746,2048578.4326739507,21901800.117678795,1643.7434150059405,372.30043264812036,771726.3556681387,-20292866.720737796,239931.04897904943,-739163131.1714599,-20293460.650137793,239663.62337904947,-739306724.69256
