,0
catchment_hectares,140398.6929
tp_load,52874.1814
tn_load,767771.6722
tss_load,113758317.4991
sub_focusarea,0.0
streamorder,2201.0
tn_loadrate_xs,-31485.04918278635
tp_loadrate_xs,-80.53479507998219
tn_loadrate_red,0.0
tp_loadrate_red,0.0
tss_loadrate_red,0.0
tn_loadrate_rem_p,30.0
tss_loadrate_rem_p,357.0
tn_load_rem,-1628834.015603
tp_loadrate_rem_p,333.0
tn_load_xsnps,-1628834.015603
tp_load_xsnps,9350.586600999999
