fa_name,catchment_hectares,tp_load,tn_load,tss_load,tp_load_ps,tn_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_rem,tp_load_rem,tss_load_rem,cluster,huc12
Lower Bashakill,26.7993,10.6591,114.7781,4482.4731,0.0,0.0,0.0,0.0,0.0,-342.685951,2.351317000000001,-20274.72024,-342.685951,2.351317000000001,-20274.72024,Poconos and Kittatinny,020401040203
Lower Neversink,26.9789,31.7217,985.6416,46219.935,0.0,0.0,0.0,0.0,0.0,525.1117770000001,23.358241,21296.82718,525.1117770000001,23.358241,21296.82718,Poconos and Kittatinny,020401040308
Lower Basha Kill V2,563.1467,70.9736,941.4945,48795.795600000005,0.0,0.0,0.0,0.0,0.0,-8671.419668999999,-103.601877,-471439.12586,-8671.419668999999,-103.601877,-471439.12586,Poconos and Kittatinny,020401040203
Hay Creek South,354.0893,501.34569999999997,4385.5751,196648.9414,0.0,0.0,0.0,0.0,0.0,-1658.7292510000002,391.578017,-130458.75394,-1658.7292510000002,391.578017,-130458.75394,Schuylkill Highlands,020402030608
Beaver Run - French,24.5524,2.1729,62.6184,5082.1951,0.0,0.0,0.0,0.0,0.0,-356.491068,-5.438344,-17599.312019999998,-356.491068,-5.438344,-17599.312019999998,Schuylkill Highlands,020402030702
Rock Run,874.2686,473.0426,5830.3409,220483.1817,0.0,0.0,0.0,0.0,0.0,-9093.424102,202.01933400000004,-587166.1509799999,-9217.539502000001,137.555234,-592360.6534799999,Schuylkill Highlands,020402030701
Upper French Creek,101.9881,27.442,671.3575,30421.3427,0.0,0.0,0.0,0.0,0.0,-1069.579367,-4.174310999999999,-63795.26408,-1069.579367,-4.174310999999999,-63795.26408,Schuylkill Highlands,020402030701
South Branch - French,337.8894,142.1748,2809.6856,108981.8239,0.0,0.0,0.0,0.0,0.0,-2958.0864580000007,37.429086000000005,-203160.40382,-3029.527258000001,29.88188599999999,-207330.05512,Schuylkill Highlands,020402030702
Pine Creek - Pickering,316.5701,254.1737,4476.7333,619965.3472,0.0,0.0,0.0,0.0,0.0,-927.1183070000004,156.036969,327517.88881999993,-933.6092070000002,154.178169,321388.68552,Schuylkill Highlands,020402031003
Pine Creek - French,940.4856,399.5991,4181.8256,201595.0863,0.0,0.0,0.0,0.0,0.0,-11872.263592,108.04856400000001,-667225.5109799999,-11872.263592,108.04856400000001,-667225.5109799999,Schuylkill Highlands,020402030701
Pigeon Run,296.3309,218.7373,5136.2909,132268.7294,0.0,0.0,0.0,0.0,0.0,77.92243699999999,126.874721,-141481.75601999994,77.92243699999999,126.874721,-141481.75601999994,Schuylkill Highlands,020402031003
Pigeon Creek,194.2567,205.8035,2743.7611,153728.4832,0.0,0.0,0.0,0.0,0.0,-572.2007689999999,145.583923,-25725.856259999997,-572.2007689999999,145.583923,-25725.856259999997,Schuylkill Highlands,020402031001
Birch Run,361.0872,203.1834,3290.1875,151653.0963,0.0,0.0,0.0,0.0,0.0,-2873.571004,91.24636800000002,-181919.25905999998,-2873.8704040000002,91.09386799999999,-181981.07645999998,Schuylkill Highlands,020402030702
Hay Creek,268.6498,197.3719,2168.2656,59803.9636,0.0,0.0,0.0,0.0,0.0,-2417.5864860000006,114.09046199999999,-188374.72164,-2417.5864860000006,114.09046199999999,-188374.72164,Schuylkill Highlands,020402030608
Bear Creek,1837.3854999999999,211.1988,1988.1091000000001,345179.3298,0.0,0.0,13.144208567777804,5.092021789325025,11657.882938420498,-29376.061385,-358.390705,-1352197.3950999998,-29376.061385,-358.390705,-1352197.3950999998,Upper Lehigh,020401060203
Blue Ridge,381.0625,28.3099,360.4231,39611.9606,0.0,0.0,0.0,0.0,0.0,-6144.313775000001,-89.81947500000001,-312413.5769,-6144.313775000001,-89.81947500000001,-312413.5769,Upper Lehigh,020401060301
Blue Ridge V2,1190.5545,165.2633,1785.9855,260691.8973,0.0,0.0,0.0,0.0,0.0,-18536.779814999998,-203.80859499999997,-839142.3498,-18536.779814999998,-203.80859499999997,-839142.3498,Upper Lehigh,020401060204
Thornhurst down,420.348,67.0517,631.3198,116349.6046,0.0,0.0,0.0,0.0,0.0,-6544.02056,-63.25618,-271967.87779999996,-6544.02056,-63.25618,-271967.87779999996,Upper Lehigh,020401060201
BLue Ridge V2,416.8479,113.9759,1635.1175,135361.9195,0.5299989373712,1.3799972331552,0.0,0.0,0.0,-5481.856150233154,-15.7769479373712,-249722.17051999999,-5481.856150233154,-15.7769479373712,-249722.17051999999,Upper Lehigh,020401060204
Tobyhanna Creek V2,2034.3706,242.3088,2702.9827999999998,478101.3779,0.4099991779664,522.5789522480032,0.0,0.0,0.0,-32546.302294248006,-388.7560851779664,-1401250.18238,-32546.302294248006,-388.7560851779664,-1401250.18238,Upper Lehigh,020401060101
Tobyhanna Creek,423.5853,59.1812,761.3402,102242.5058,0.0,0.0,43.855500011208505,13.251810172835079,27585.089331749197,-6469.260871,-72.13024300000001,-289065.59433999995,-6469.260871,-72.13024300000001,-289065.59433999995,Upper Lehigh,020401060104
Thornhurst up,298.9363,22.6144,381.3864,34164.9721,0.0,0.0,0.0,0.0,0.0,-4721.456241000001,-70.05585300000001,-241992.38184,-4721.456241000001,-70.05585300000001,-241992.38184,Upper Lehigh,020401060201
Thornhurst V2,687.8987,69.3806,862.6143,78301.0882,0.0,0.0,0.0,0.0,0.0,-10879.816509,-143.867997,-557179.73086,-10879.816509,-143.867997,-557179.73086,Upper Lehigh,020401060201
Jim Thorpe,2790.5155,458.7188,4057.4854,709331.8075,0.0,0.0,0.0,0.0,0.0,-43576.614185,-406.341005,-1868546.4113999999,-43576.614185,-406.341005,-1868546.4113999999,Upper Lehigh,020401060310
Fogal Smith,1070.1117,248.29309999999998,1796.2966000000001,500591.8225,0.0,0.0,0.0,0.0,0.0,-16470.510119,-83.441527,-487977.3659599999,-16470.510119,-83.441527,-487977.3659599999,Upper Lehigh,020401060303
Kittatinny Ridge,1277.9095,398.0397,2731.5631,340824.8304,0.0,0.0,0.0,0.0,0.0,-19082.352065,1.8877550000000105,-839707.9657,-19082.352065,1.8877550000000105,-839707.9657,Upper Lehigh,020401060501
Tookany Creek,379.5869,146.5631,3938.1139,231843.2462,0.0,0.0,0.0,0.0,0.0,-2541.4344830000005,28.891160999999997,-118819.13201999999,-2693.4424830000003,-20.341439000000012,-218836.00121999998,Upstream Suburban Philadelphia,020402020402
Wissahickon Creek,1221.3181,3739.6969,44220.5363,1459063.2903,3323.4633365755885,36493.90683102986,0.0,0.0,0.0,-13121.27049802986,37.624952424411404,330809.6295200002,-13836.822398029859,-130.52104757558848,-234794.05907999992,Upstream Suburban Philadelphia,020402030902
Naylors Run,3021.8896,1101.3217,22803.7162,3483075.0316,0.0,0.0,0.0,0.0,0.0,-28779.939272,164.53592399999994,691453.4191200002,-28787.001771999996,162.84202400000007,684727.20942,Upstream Suburban Philadelphia,020402020504
Pennypack Creek,549.4611,257.1178,2628.3882000000003,706085.3332,0.0,0.0,0.0,0.0,0.0,-6750.9127770000005,86.784859,198493.16902,-6823.782477000001,78.06355899999998,192384.28881999996,Upstream Suburban Philadelphia,020402020303
