cluster,catchment_hectares,tp_load,tn_load,tss_load,tp_load_ps,tn_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_rem,tp_load_rem,tss_load_rem
Brandywine and Christina,143039.4849,115877.5096,1997658.8985,101582783.37889999,33316.63320134917,370646.3368674305,0.0,0.0,0.0,-814671.4456104306,38218.63607965083,-30557092.771719992,-823077.6165104305,35138.45297965083,-35325614.72511999
Kirkwood - Cohansey Aquifer,550179.6135,160820.2011,2849539.1401,182163754.8213,104214.6510533743,1112279.1499203243,12621.99444058374,2099.198592212334,8552734.45380977,-7654306.012265325,-113950.1301383743,-326092172.13,-7663278.922465324,-115288.34263837429,-327927364.284
Middle Schuylkill,189193.0043,278525.5373,3211020.6305,131863537.1699,144682.71991635227,1610971.570059965,0.0,0.0,0.0,-1629475.522960965,75192.98605064773,-42912960.20243999,-1639056.081160965,72421.92435064772,-44091960.80163999
New Jersey Highlands,160140.7073,128133.5833,1392200.7738,76384167.7966,64812.59005308891,354236.15976924513,271.95184828173683,69.38846421125783,190964.8467797978,-1695637.2595802452,13677.373983911091,-71553817.60713999,-1710482.512580245,9776.217983911092,-73509341.34004
Poconos and Kittatinny,328203.0805,65471.8014,806595.443,68128718.2022,14066.46179725021,79148.12131086453,16246.006411262302,4738.828487524939,11961231.075567711,-4874979.262445864,-50337.615352250206,-235065287.5637,-4874979.262445864,-50337.615352250206,-235065287.5637
Schuylkill Highlands,40784.946,51755.246100000004,633298.6627,26139129.785,22942.814000483413,173033.37307431278,947.6282812885293,229.54672823869623,564279.9244547065,-235933.73859431277,16169.098839516586,-11538003.329799999,-235960.42009431278,16157.255839516585,-11546461.5049
Upper Lehigh,185200.2421,57875.2907,514766.991,51338557.4229,16245.067429224304,90060.7894313576,7199.936111546997,1995.1713779730549,4241616.636777332,-2736661.9310783576,-15781.851780224304,-119749426.22907999,-2736661.9310783576,-15781.851780224304,-119749426.22907999
Upstream Suburban Philadelphia,32238.8389,54127.1298,298463.1346,35206551.224,39460.820882473934,27916.48402845396,0.0,0.0,0.0,-279770.329451454,4672.268858526062,5424311.848180002,-280065.35085145396,4515.053958526061,5313686.9863800015
drb,1945875.5637,2891730.9064,34825029.2693,1058436714.5746,2048578.4326739507,21901800.117678795,1643.7434150059405,372.30043264812036,771726.3556681387,-20292866.720737796,239931.04897904943,-739163131.1714599,-20293460.650137793,239663.62337904947,-739306724.69256
